The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
  174  -0.3361858334D+01  0.5336193178D-02  -0.8697389405D-02
  175  -0.3366694030D+01  0.5305066479D-02  -0.8654423347D-02
  176  -0.3371498667D+01  0.5274448803D-02  -0.8611828228D-02
  177  -0.3376322954D+01  0.5244080024D-02  -0.8569895531D-02
  178  -0.3381137085D+01  0.5214092671D-02  -0.8528440623D-02
  179  -0.3385947774D+01  0.5184463790D-02  -0.8487493676D-02
  180  -0.3390753240D+01  0.5155167635D-02  -0.8447036357D-02
  181  -0.3395573502D+01  0.5126151378D-02  -0.8407173107D-02
  182  -0.3400390426D+01  0.5097567237D-02  -0.8367788511D-02
  183  -0.3405186657D+01  0.5069168008D-02  -0.8328785921D-02
  184  -0.3409992079D+01  0.5041151084D-02  -0.8290316949D-02
  185  -0.3414794592D+01  0.5013449165D-02  -0.8252308570D-02
  186  -0.3419596810D+01  0.4986061074D-02  -0.8214766228D-02
  187  -0.3424402965D+01  0.4958944928D-02  -0.8177706369D-02
  188  -0.3429178050D+01  0.4932255731D-02  -0.8140930596D-02
  189  -0.3434030151D+01  0.4905525917D-02  -0.8105017791D-02
  190  -0.3438803522D+01  0.4879424951D-02  -0.8069117051D-02
  191  -0.3443599294D+01  0.4853504566D-02  -0.8033768762D-02
  192  -0.3448400621D+01  0.4827850365D-02  -0.7998873555D-02
  193  -0.3453193372D+01  0.4802499623D-02  -0.7964350504D-02
  194  -0.3457996489D+01  0.4777387474D-02  -0.7930292160D-02
  195  -0.3462783491D+01  0.4752589109D-02  -0.7896553990D-02
  196  -0.3467578193D+01  0.4728037546D-02  -0.7863253107D-02
  197  -0.3472368309D+01  0.4703753065D-02  -0.7830320214D-02
  198  -0.3477159674D+01  0.4679737252D-02  -0.7797778326D-02
  199  -0.3481948945D+01  0.4655978965D-02  -0.7765604939D-02
  200  -0.3486737069D+01  0.4632476038D-02  -0.7733798911D-02
  201  -0.3491523709D+01  0.4609223673D-02  -0.7702352896D-02
  202  -0.3496325560D+01  0.4586168511D-02  -0.7671343992D-02
  203  -0.3501090650D+01  0.4563468011D-02  -0.7640509354D-02
  204  -0.3505886080D+01  0.4540924400D-02  -0.7610174525D-02
  205  -0.3510653342D+01  0.4518692198D-02  -0.7580047628D-02
  206  -0.3515451385D+01  0.4496600896D-02  -0.7550410752D-02
  207  -0.3520234828D+01  0.4474786294D-02  -0.7521037452D-02
  208  -0.3525043457D+01  0.4453119268D-02  -0.7492114528D-02
  209  -0.3529793812D+01  0.4431852977D-02  -0.7463237844D-02
  210  -0.3534580558D+01  0.4410705097D-02  -0.7434854350D-02
  211  -0.3539352750D+01  0.4389809313D-02  -0.7406718031D-02
  212  -0.3544151639D+01  0.4369057934D-02  -0.7379017474D-02
  213  -0.3548912158D+01  0.4348626414D-02  -0.7351443763D-02
  214  -0.3553689256D+01  0.4328358420D-02  -0.7324248916D-02
  215  -0.3558462797D+01  0.4308312712D-02  -0.7297334665D-02
  216  -0.3563235313D+01  0.4288471779D-02  -0.7270708894D-02
  217  -0.3568007088D+01  0.4268837229D-02  -0.7244368485D-02
  218  -0.3572788804D+01  0.4249371956D-02  -0.7218357592D-02
