The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
 1868  -0.6197811041D+01  0.1006912089D-02  -0.1627917069D-02
 1869  -0.6197868372D+01  0.1006396230D-02  -0.1627067828D-02
 1870  -0.6197925498D+01  0.1005880841D-02  -0.1626219420D-02
 1871  -0.6197982418D+01  0.1005365923D-02  -0.1625371844D-02
 1872  -0.6198039137D+01  0.1004851475D-02  -0.1624525099D-02
 1873  -0.6198095652D+01  0.1004337496D-02  -0.1623679184D-02
 1874  -0.6198151961D+01  0.1003823984D-02  -0.1622834097D-02
 1875  -0.6198208073D+01  0.1003310943D-02  -0.1621989838D-02
 1876  -0.6198263982D+01  0.1002798369D-02  -0.1621146406D-02
 1877  -0.6198319691D+01  0.1002286262D-02  -0.1620303799D-02
 1878  -0.6198375198D+01  0.1001774621D-02  -0.1619462015D-02
 1879  -0.6198430510D+01  0.1001263448D-02  -0.1618621057D-02
 1880  -0.6198485620D+01  0.1000752739D-02  -0.1617780919D-02
 1881  -0.6198540535D+01  0.1000242497D-02  -0.1616941603D-02
 1882  -0.6198595254D+01  0.9997327199D-03  -0.1616103108D-02
 1883  -0.6198649776D+01  0.9992234068D-03  -0.1615265432D-02
 1884  -0.6198704101D+01  0.9987145573D-03  -0.1614428573D-02
 1885  -0.6198758232D+01  0.9982061716D-03  -0.1613592531D-02
 1886  -0.6198812170D+01  0.9976982489D-03  -0.1612757305D-02
 1887  -0.6198865913D+01  0.9971907887D-03  -0.1611922895D-02
 1888  -0.6198919464D+01  0.9966837904D-03  -0.1611089298D-02
 1889  -0.6198972825D+01  0.9961772544D-03  -0.1610256514D-02
 1890  -0.6199025992D+01  0.9956711789D-03  -0.1609424542D-02
 1891  -0.6199078968D+01  0.9951655635D-03  -0.1608593379D-02
 1892  -0.6199131756D+01  0.9946604086D-03  -0.1607763027D-02
 1893  -0.6199184351D+01  0.9941557126D-03  -0.1606933483D-02
 1894  -0.6199236761D+01  0.9936514769D-03  -0.1606104747D-02
 1895  -0.6199288984D+01  0.9931477002D-03  -0.1605276819D-02
 1896  -0.6199341017D+01  0.9926443807D-03  -0.1604449694D-02
 1897  -0.6199392864D+01  0.9921415196D-03  -0.1603623375D-02
 1898  -0.6199444527D+01  0.9916391159D-03  -0.1602797860D-02
 1899  -0.6199496002D+01  0.9911371681D-03  -0.1601973146D-02
 1900  -0.6199547293D+01  0.9906356771D-03  -0.1601149233D-02
 1901  -0.6199598398D+01  0.9901346410D-03  -0.1600326120D-02
 1902  -0.6199649325D+01  0.9896340622D-03  -0.1599503807D-02
 1903  -0.6199700065D+01  0.9891339366D-03  -0.1598682292D-02
 1904  -0.6199750623D+01  0.9886342657D-03  -0.1597861574D-02
 1905  -0.6199801000D+01  0.9881350489D-03  -0.1597041652D-02
 1906  -0.6199851197D+01  0.9876362853D-03  -0.1596222525D-02
 1907  -0.6199901215D+01  0.9871379755D-03  -0.1595404193D-02
 1908  -0.6199951051D+01  0.9866401173D-03  -0.1594586654D-02
 1909  -0.6200000708D+01  0.9861427109D-03  -0.1593769906D-02
 1910  -0.6200050188D+01  0.9856457567D-03  -0.1592953950D-02
 1911  -0.6200099490D+01  0.9851492532D-03  -0.1592138783D-02
 1912  -0.6200148616D+01  0.9846532005D-03  -0.1591324406D-02
 1913  -0.6200197565D+01  0.9841575980D-03  -0.1590510817D-02
 1914  -0.6200246336D+01  0.9836624443D-03  -0.1589698014D-02
 1915  -0.6200294936D+01  0.9831677413D-03  -0.1588885999D-02
 1916  -0.6200343359D+01  0.9826734860D-03  -0.1588074768D-02
 1917  -0.6200391610D+01  0.9821796795D-03  -0.1587264321D-02
 1918  -0.6200439687D+01  0.9816863204D-03  -0.1586454657D-02
 1919  -0.6200487589D+01  0.9811934078D-03  -0.1585645775D-02
 1920  -0.6200535321D+01  0.9807009430D-03  -0.1584837674D-02
 1921  -0.6200582881D+01  0.9802089241D-03  -0.1584030353D-02
 1922  -0.6200630270D+01  0.9797173510D-03  -0.1583223810D-02
 1923  -0.6200677489D+01  0.9792262233D-03  -0.1582418046D-02
 1924  -0.6200724540D+01  0.9787355413D-03  -0.1581613059D-02
 1925  -0.6200771419D+01  0.9782453025D-03  -0.1580808847D-02
 1926  -0.6200818132D+01  0.9777555086D-03  -0.1580005411D-02
 1927  -0.6200864677D+01  0.9772661579D-03  -0.1579202748D-02
 1928  -0.6200911052D+01  0.9767772494D-03  -0.1578400858D-02
 1929  -0.6200957264D+01  0.9762887847D-03  -0.1577599741D-02
 1930  -0.6201003309D+01  0.9758007620D-03  -0.1576799394D-02
 1931  -0.6201049188D+01  0.9753131806D-03  -0.1575999818D-02
 1932  -0.6201094903D+01  0.9748260403D-03  -0.1575201010D-02
 1933  -0.6201140452D+01  0.9743393407D-03  -0.1574402970D-02
 1934  -0.6201185839D+01  0.9738530814D-03  -0.1573605697D-02
 1935  -0.6201231062D+01  0.9733672619D-03  -0.1572809191D-02
 1936  -0.6201276124D+01  0.9728818822D-03  -0.1572013450D-02
 1937  -0.6201321023D+01  0.9723969406D-03  -0.1571218472D-02
 1938  -0.6201365759D+01  0.9719124370D-03  -0.1570424257D-02
 1939  -0.6201410336D+01  0.9714283717D-03  -0.1569630804D-02
 1940  -0.6201454752D+01  0.9709447439D-03  -0.1568838113D-02
 1941  -0.6201499010D+01  0.9704615532D-03  -0.1568046182D-02
 1942  -0.6201543107D+01  0.9699787986D-03  -0.1567255010D-02
 1943  -0.6201587046D+01  0.9694964802D-03  -0.1566464596D-02
 1944  -0.6201630828D+01  0.9690145975D-03  -0.1565674940D-02
 1945  -0.6201674452D+01  0.9685331498D-03  -0.1564886039D-02
 1946  -0.6201717918D+01  0.9680521362D-03  -0.1564097894D-02
 1947  -0.6201761230D+01  0.9675715577D-03  -0.1563310503D-02
 1948  -0.6201804385D+01  0.9670914124D-03  -0.1562523866D-02
 1949  -0.6201847385D+01  0.9666117003D-03  -0.1561737981D-02
 1950  -0.6201890230D+01  0.9661324210D-03  -0.1560952847D-02
 1951  -0.6201932922D+01  0.9656535742D-03  -0.1560168464D-02
 1952  -0.6201975459D+01  0.9651751590D-03  -0.1559384830D-02
 1953  -0.6202017844D+01  0.9646971753D-03  -0.1558601945D-02
 1954  -0.6202060077D+01  0.9642196226D-03  -0.1557819807D-02
 1955  -0.6202102158D+01  0.9637425003D-03  -0.1557038416D-02
 1956  -0.6202144087D+01  0.9632658077D-03  -0.1556257771D-02
 1957  -0.6202185866D+01  0.9627895452D-03  -0.1555477870D-02
 1958  -0.6202227493D+01  0.9623137111D-03  -0.1554698713D-02
 1959  -0.6202268972D+01  0.9618383061D-03  -0.1553920299D-02
 1960  -0.6202310302D+01  0.9613633294D-03  -0.1553142627D-02
 1961  -0.6202351481D+01  0.9608887793D-03  -0.1552365694D-02
 1962  -0.6202392515D+01  0.9604146576D-03  -0.1551589503D-02
 1963  -0.6202433400D+01  0.9599409622D-03  -0.1550814051D-02
 1964  -0.6202474138D+01  0.9594676933D-03  -0.1550039336D-02
 1965  -0.6202514730D+01  0.9589948503D-03  -0.1549265359D-02
 1966  -0.6202555175D+01  0.9585224325D-03  -0.1548492117D-02
 1967  -0.6202595476D+01  0.9580504399D-03  -0.1547719611D-02
 1968  -0.6202635630D+01  0.9575788711D-03  -0.1546947839D-02
 1969  -0.6202675639D+01  0.9571077264D-03  -0.1546176799D-02
 1970  -0.6202715508D+01  0.9566370063D-03  -0.1545406493D-02
 1971  -0.6202755231D+01  0.9561667089D-03  -0.1544636918D-02
 1972  -0.6202794811D+01  0.9556968333D-03  -0.1543868073D-02
 1973  -0.6202834249D+01  0.9552273806D-03  -0.1543099957D-02
 1974  -0.6202873546D+01  0.9547583498D-03  -0.1542332571D-02
 1975  -0.6202912699D+01  0.9542897395D-03  -0.1541565912D-02
 1976  -0.6202951714D+01  0.9538215510D-03  -0.1540799980D-02
 1977  -0.6202990587D+01  0.9533537820D-03  -0.1540034773D-02
 1978  -0.6203029320D+01  0.9528864331D-03  -0.1539270291D-02
 1979  -0.6203067914D+01  0.9524195039D-03  -0.1538506534D-02
 1980  -0.6203106370D+01  0.9519529938D-03  -0.1537743499D-02
 1981  -0.6203144687D+01  0.9514869021D-03  -0.1536981187D-02
 1982  -0.6203182865D+01  0.9510212282D-03  -0.1536219596D-02
 1983  -0.6203220908D+01  0.9505559726D-03  -0.1535458726D-02
 1984  -0.6203258812D+01  0.9500911338D-03  -0.1534698574D-02
 1985  -0.6203296580D+01  0.9496267118D-03  -0.1533939142D-02
 1986  -0.6203334213D+01  0.9491627062D-03  -0.1533180426D-02
 1987  -0.6203371710D+01  0.9486991163D-03  -0.1532422428D-02
 1988  -0.6203409072D+01  0.9482359419D-03  -0.1531665145D-02
 1989  -0.6203446300D+01  0.9477731824D-03  -0.1530908577D-02
 1990  -0.6203483394D+01  0.9473108373D-03  -0.1530152722D-02
 1991  -0.6203520354D+01  0.9468489063D-03  -0.1529397581D-02
 1992  -0.6203557181D+01  0.9463873888D-03  -0.1528643152D-02
 1993  -0.6203593876D+01  0.9459262848D-03  -0.1527889434D-02
 1994  -0.6203630438D+01  0.9454655932D-03  -0.1527136426D-02
 1995  -0.6203666869D+01  0.9450053138D-03  -0.1526384127D-02
 1996  -0.6203703169D+01  0.9445454464D-03  -0.1525632537D-02
 1997  -0.6203739338D+01  0.9440859899D-03  -0.1524881654D-02
 1998  -0.6203775378D+01  0.9436269450D-03  -0.1524131479D-02
 1999  -0.6203811287D+01  0.9431683100D-03  -0.1523382008D-02
 2000  -0.6203847067D+01  0.9427100851D-03  -0.1522633242D-02
 2001  -0.6203882718D+01  0.9422522699D-03  -0.1521885181D-02
 2002  -0.6203918242D+01  0.9417948637D-03  -0.1521137822D-02
 2003  -0.6203953636D+01  0.9413378661D-03  -0.1520391166D-02
 2004  -0.6203988904D+01  0.9408812770D-03  -0.1519645210D-02
 2005  -0.6204024045D+01  0.9404250954D-03  -0.1518899955D-02
 2006  -0.6204059060D+01  0.9399693212D-03  -0.1518155400D-02
 2007  -0.6204093948D+01  0.9395139539D-03  -0.1517411543D-02
 2008  -0.6204128710D+01  0.9390589929D-03  -0.1516668383D-02
 2009  -0.6204163348D+01  0.9386044381D-03  -0.1515925921D-02
 2010  -0.6204197861D+01  0.9381502886D-03  -0.1515184154D-02
 2011  -0.6204232249D+01  0.9376965443D-03  -0.1514443082D-02
 2012  -0.6204266514D+01  0.9372432047D-03  -0.1513702704D-02
 2013  -0.6204300655D+01  0.9367902693D-03  -0.1512963020D-02
 2014  -0.6204334674D+01  0.9363377380D-03  -0.1512224028D-02
 2015  -0.6204368571D+01  0.9358856097D-03  -0.1511485727D-02
 2016  -0.6204402345D+01  0.9354338843D-03  -0.1510748117D-02
 2017  -0.6204435997D+01  0.9349825615D-03  -0.1510011197D-02
 2018  -0.6204469529D+01  0.9345316408D-03  -0.1509274965D-02
 2019  -0.6204502939D+01  0.9340811212D-03  -0.1508539422D-02
 2020  -0.6204536230D+01  0.9336310032D-03  -0.1507804565D-02
 2021  -0.6204569400D+01  0.9331812857D-03  -0.1507070395D-02
 2022  -0.6204602452D+01  0.9327319686D-03  -0.1506336910D-02
 2023  -0.6204635384D+01  0.9322830511D-03  -0.1505604109D-02
 2024  -0.6204668198D+01  0.9318345331D-03  -0.1504871992D-02
 2025  -0.6204700893D+01  0.9313864141D-03  -0.1504140558D-02
 2026  -0.6204733471D+01  0.9309386934D-03  -0.1503409805D-02
 2027  -0.6204765932D+01  0.9304913709D-03  -0.1502679734D-02
 2028  -0.6204798275D+01  0.9300444460D-03  -0.1501950342D-02
 2029  -0.6204830502D+01  0.9295979182D-03  -0.1501221630D-02
 2030  -0.6204862614D+01  0.9291517874D-03  -0.1500493596D-02
 2031  -0.6204894610D+01  0.9287060528D-03  -0.1499766240D-02
 2032  -0.6204926490D+01  0.9282607139D-03  -0.1499039561D-02
 2033  -0.6204958256D+01  0.9278157708D-03  -0.1498313557D-02
 2034  -0.6204989907D+01  0.9273712224D-03  -0.1497588228D-02
 2035  -0.6205021445D+01  0.9269270688D-03  -0.1496863573D-02
 2036  -0.6205052869D+01  0.9264833092D-03  -0.1496139591D-02
 2037  -0.6205084179D+01  0.9260399432D-03  -0.1495416281D-02
 2038  -0.6205115377D+01  0.9255969704D-03  -0.1494693642D-02
 2039  -0.6205146463D+01  0.9251543909D-03  -0.1493971675D-02
 2040  -0.6205177437D+01  0.9247122035D-03  -0.1493250377D-02
 2041  -0.6205208299D+01  0.9242704079D-03  -0.1492529748D-02
 2042  -0.6205239051D+01  0.9238290042D-03  -0.1491809788D-02
 2043  -0.6205269691D+01  0.9233879911D-03  -0.1491090494D-02
 2044  -0.6205300222D+01  0.9229473694D-03  -0.1490371867D-02
 2045  -0.6205330642D+01  0.9225071377D-03  -0.1489653906D-02
 2046  -0.6205360953D+01  0.9220672955D-03  -0.1488936608D-02
 2047  -0.6205391155D+01  0.9216278430D-03  -0.1488219975D-02
 2048  -0.6205421248D+01  0.9211887794D-03  -0.1487504006D-02
 2049  -0.6205451233D+01  0.9207501044D-03  -0.1486788698D-02
 2050  -0.6205481110D+01  0.9203118174D-03  -0.1486074052D-02
 2051  -0.6205510879D+01  0.9198739182D-03  -0.1485360067D-02
 2052  -0.6205540541D+01  0.9194364060D-03  -0.1484646741D-02
 2053  -0.6205570096D+01  0.9189992807D-03  -0.1483934074D-02
 2054  -0.6205599546D+01  0.9185625420D-03  -0.1483222065D-02
 2055  -0.6205628889D+01  0.9181261891D-03  -0.1482510713D-02
 2056  -0.6205658126D+01  0.9176902219D-03  -0.1481800018D-02
 2057  -0.6205687258D+01  0.9172546397D-03  -0.1481089978D-02
 2058  -0.6205716286D+01  0.9168194421D-03  -0.1480380593D-02
 2059  -0.6205745209D+01  0.9163846289D-03  -0.1479671862D-02
 2060  -0.6205774028D+01  0.9159501994D-03  -0.1478963783D-02
 2061  -0.6205802743D+01  0.9155161537D-03  -0.1478256357D-02
 2062  -0.6205831354D+01  0.9150824904D-03  -0.1477549582D-02
 2063  -0.6205859863D+01  0.9146492097D-03  -0.1476843458D-02
 2064  -0.6205888270D+01  0.9142163116D-03  -0.1476137984D-02
 2065  -0.6205916574D+01  0.9137837950D-03  -0.1475433158D-02
 2066  -0.6205944776D+01  0.9133516597D-03  -0.1474728981D-02
 2067  -0.6205972876D+01  0.9129199050D-03  -0.1474025451D-02
 2068  -0.6206000876D+01  0.9124885313D-03  -0.1473322567D-02
 2069  -0.6206028775D+01  0.9120575373D-03  -0.1472620329D-02
 2070  -0.6206056573D+01  0.9116269228D-03  -0.1471918736D-02
 2071  -0.6206084271D+01  0.9111966874D-03  -0.1471217787D-02
 2072  -0.6206111870D+01  0.9107668308D-03  -0.1470517481D-02
 2073  -0.6206139369D+01  0.9103373525D-03  -0.1469817817D-02
 2074  -0.6206166769D+01  0.9099082523D-03  -0.1469118795D-02
 2075  -0.6206194071D+01  0.9094795294D-03  -0.1468420414D-02
 2076  -0.6206221274D+01  0.9090511837D-03  -0.1467722672D-02
 2077  -0.6206248380D+01  0.9086232149D-03  -0.1467025570D-02
 2078  -0.6206275388D+01  0.9081956222D-03  -0.1466329106D-02
 2079  -0.6206302299D+01  0.9077684053D-03  -0.1465633279D-02
 2080  -0.6206329114D+01  0.9073415639D-03  -0.1464938089D-02
 2081  -0.6206355832D+01  0.9069150975D-03  -0.1464243535D-02
 2082  -0.6206382454D+01  0.9064890059D-03  -0.1463549616D-02
 2083  -0.6206408979D+01  0.9060632879D-03  -0.1462856330D-02
 2084  -0.6206435410D+01  0.9056379440D-03  -0.1462163679D-02
 2085  -0.6206461746D+01  0.9052129737D-03  -0.1461471661D-02
 2086  -0.6206487986D+01  0.9047883760D-03  -0.1460780274D-02
 2087  -0.6206514133D+01  0.9043641510D-03  -0.1460089519D-02
 2088  -0.6206540185D+01  0.9039402976D-03  -0.1459399395D-02
 2089  -0.6206566144D+01  0.9035168163D-03  -0.1458709900D-02
 2090  -0.6206592009D+01  0.9030937063D-03  -0.1458021034D-02
 2091  -0.6206617781D+01  0.9026709668D-03  -0.1457332795D-02
 2092  -0.6206643461D+01  0.9022485979D-03  -0.1456645184D-02
 2093  -0.6206669048D+01  0.9018265990D-03  -0.1455958200D-02
 2094  -0.6206694543D+01  0.9014049700D-03  -0.1455271841D-02
 2095  -0.6206719947D+01  0.9009837101D-03  -0.1454586107D-02
 2096  -0.6206745259D+01  0.9005628188D-03  -0.1453900997D-02
 2097  -0.6206770481D+01  0.9001422960D-03  -0.1453216510D-02
 2098  -0.6206795611D+01  0.8997221411D-03  -0.1452532645D-02
 2099  -0.6206820652D+01  0.8993023538D-03  -0.1451849403D-02
 2100  -0.6206845602D+01  0.8988829338D-03  -0.1451166781D-02
 2101  -0.6206870463D+01  0.8984638805D-03  -0.1450484779D-02
 2102  -0.6206895233D+01  0.8980451932D-03  -0.1449803396D-02
 2103  -0.6206919916D+01  0.8976268720D-03  -0.1449122632D-02
 2104  -0.6206944509D+01  0.8972089162D-03  -0.1448442485D-02
 2105  -0.6206969013D+01  0.8967913255D-03  -0.1447762956D-02
 2106  -0.6206993430D+01  0.8963740997D-03  -0.1447084042D-02
 2107  -0.6207017759D+01  0.8959572381D-03  -0.1446405744D-02
 2108  -0.6207042001D+01  0.8955407404D-03  -0.1445728061D-02
 2109  -0.6207066156D+01  0.8951246062D-03  -0.1445050992D-02
 2110  -0.6207090223D+01  0.8947088350D-03  -0.1444374536D-02
 2111  -0.6207114205D+01  0.8942934266D-03  -0.1443698692D-02
 2112  -0.6207138100D+01  0.8938783803D-03  -0.1443023459D-02
 2113  -0.6207161909D+01  0.8934636960D-03  -0.1442348838D-02
 2114  -0.6207185632D+01  0.8930493730D-03  -0.1441674826D-02
 2115  -0.6207209271D+01  0.8926354114D-03  -0.1441001425D-02
 2116  -0.6207232825D+01  0.8922218102D-03  -0.1440328631D-02
 2117  -0.6207256293D+01  0.8918085692D-03  -0.1439656446D-02
 2118  -0.6207279678D+01  0.8913956881D-03  -0.1438984867D-02
 2119  -0.6207302979D+01  0.8909831665D-03  -0.1438313895D-02
 2120  -0.6207326195D+01  0.8905710039D-03  -0.1437643529D-02
 2121  -0.6207349329D+01  0.8901591999D-03  -0.1436973767D-02
 2122  -0.6207372379D+01  0.8897477541D-03  -0.1436304609D-02
 2123  -0.6207395347D+01  0.8893366663D-03  -0.1435636054D-02
 2124  -0.6207418232D+01  0.8889259358D-03  -0.1434968102D-02
 2125  -0.6207441035D+01  0.8885155625D-03  -0.1434300751D-02
 2126  -0.6207463756D+01  0.8881055456D-03  -0.1433634002D-02
 2127  -0.6207486395D+01  0.8876958851D-03  -0.1432967852D-02
 2128  -0.6207508953D+01  0.8872865804D-03  -0.1432302302D-02
 2129  -0.6207531431D+01  0.8868776312D-03  -0.1431637351D-02
 2130  -0.6207553827D+01  0.8864690369D-03  -0.1430972998D-02
 2131  -0.6207576143D+01  0.8860607974D-03  -0.1430309242D-02
 2132  -0.6207598379D+01  0.8856529120D-03  -0.1429646082D-02
 2133  -0.6207620535D+01  0.8852453807D-03  -0.1428983518D-02
 2134  -0.6207642612D+01  0.8848382029D-03  -0.1428321550D-02
 2135  -0.6207664609D+01  0.8844313777D-03  -0.1427660175D-02
 2136  -0.6207686527D+01  0.8840249056D-03  -0.1426999394D-02
 2137  -0.6207708367D+01  0.8836187856D-03  -0.1426339205D-02
 2138  -0.6207730129D+01  0.8832130175D-03  -0.1425679609D-02
 2139  -0.6207751812D+01  0.8828076010D-03  -0.1425020604D-02
 2140  -0.6207773417D+01  0.8824025353D-03  -0.1424362190D-02
 2141  -0.6207794945D+01  0.8819978206D-03  -0.1423704365D-02
 2142  -0.6207816396D+01  0.8815934560D-03  -0.1423047129D-02
 2143  -0.6207837769D+01  0.8811894414D-03  -0.1422390482D-02
 2144  -0.6207859067D+01  0.8807857764D-03  -0.1421734422D-02
 2145  -0.6207880287D+01  0.8803824604D-03  -0.1421078949D-02
 2146  -0.6207901432D+01  0.8799794933D-03  -0.1420424062D-02
 2147  -0.6207922500D+01  0.8795768743D-03  -0.1419769761D-02
 2148  -0.6207943494D+01  0.8791746035D-03  -0.1419116044D-02
 2149  -0.6207964411D+01  0.8787726802D-03  -0.1418462912D-02
 2150  -0.6207985254D+01  0.8783711040D-03  -0.1417810362D-02
 2151  -0.6208006022D+01  0.8779698745D-03  -0.1417158395D-02
 2152  -0.6208026716D+01  0.8775689917D-03  -0.1416507010D-02
 2153  -0.6208047335D+01  0.8771684547D-03  -0.1415856206D-02
 2154  -0.6208067881D+01  0.8767682635D-03  -0.1415205982D-02
 2155  -0.6208088353D+01  0.8763684174D-03  -0.1414556337D-02
 2156  -0.6208108751D+01  0.8759689161D-03  -0.1413907272D-02
 2157  -0.6208129077D+01  0.8755697596D-03  -0.1413258785D-02
 2158  -0.6208149329D+01  0.8751709467D-03  -0.1412610875D-02
 2159  -0.6208169509D+01  0.8747724776D-03  -0.1411963542D-02
 2160  -0.6208189616D+01  0.8743743521D-03  -0.1411316785D-02
 2161  -0.6208209652D+01  0.8739765692D-03  -0.1410670603D-02
 2162  -0.6208229616D+01  0.8735791290D-03  -0.1410024996D-02
 2163  -0.6208249508D+01  0.8731820308D-03  -0.1409379963D-02
 2164  -0.6208269329D+01  0.8727852746D-03  -0.1408735503D-02
 2165  -0.6208289079D+01  0.8723888596D-03  -0.1408091615D-02
 2166  -0.6208308758D+01  0.8719927857D-03  -0.1407448299D-02
 2167  -0.6208328366D+01  0.8715970524D-03  -0.1406805554D-02
 2168  -0.6208347905D+01  0.8712016592D-03  -0.1406163379D-02
 2169  -0.6208367373D+01  0.8708066060D-03  -0.1405521774D-02
 2170  -0.6208386772D+01  0.8704118923D-03  -0.1404880737D-02
 2171  -0.6208406101D+01  0.8700175176D-03  -0.1404240269D-02
 2172  -0.6208425361D+01  0.8696234815D-03  -0.1403600368D-02
 2173  -0.6208444552D+01  0.8692297838D-03  -0.1402961034D-02
 2174  -0.6208463675D+01  0.8688364240D-03  -0.1402322265D-02
 2175  -0.6208482728D+01  0.8684434018D-03  -0.1401684062D-02
 2176  -0.6208501714D+01  0.8680507168D-03  -0.1401046424D-02
 2177  -0.6208520632D+01  0.8676583688D-03  -0.1400409350D-02
 2178  -0.6208539482D+01  0.8672663571D-03  -0.1399772839D-02
 2179  -0.6208558265D+01  0.8668746814D-03  -0.1399136891D-02
 2180  -0.6208576980D+01  0.8664833414D-03  -0.1398501504D-02
 2181  -0.6208595629D+01  0.8660923368D-03  -0.1397866679D-02
 2182  -0.6208614210D+01  0.8657016670D-03  -0.1397232414D-02
 2183  -0.6208632726D+01  0.8653113318D-03  -0.1396598709D-02
 2184  -0.6208651175D+01  0.8649213308D-03  -0.1395965563D-02
 2185  -0.6208669558D+01  0.8645316636D-03  -0.1395332976D-02
 2186  -0.6208687875D+01  0.8641423298D-03  -0.1394700947D-02
 2187  -0.6208706127D+01  0.8637533291D-03  -0.1394069474D-02
 2188  -0.6208724313D+01  0.8633646608D-03  -0.1393438558D-02
 2189  -0.6208742435D+01  0.8629763252D-03  -0.1392808198D-02
 2190  -0.6208760492D+01  0.8625883214D-03  -0.1392178392D-02
 2191  -0.6208778484D+01  0.8622006490D-03  -0.1391549141D-02
 2192  -0.6208796412D+01  0.8618133079D-03  -0.1390920443D-02
 2193  -0.6208814275D+01  0.8614262976D-03  -0.1390292298D-02
 2194  -0.6208832075D+01  0.8610396177D-03  -0.1389664706D-02
 2195  -0.6208849812D+01  0.8606532680D-03  -0.1389037665D-02
 2196  -0.6208867485D+01  0.8602672478D-03  -0.1388411175D-02
 2197  -0.6208885094D+01  0.8598815569D-03  -0.1387785235D-02
 2198  -0.6208902641D+01  0.8594961951D-03  -0.1387159844D-02
 2199  -0.6208920125D+01  0.8591111618D-03  -0.1386535003D-02
 2200  -0.6208937547D+01  0.8587264569D-03  -0.1385910709D-02
 2201  -0.6208954906D+01  0.8583420795D-03  -0.1385286963D-02
 2202  -0.6208972204D+01  0.8579580298D-03  -0.1384663764D-02
 2203  -0.6208989440D+01  0.8575743073D-03  -0.1384041111D-02
 2204  -0.6209006614D+01  0.8571909113D-03  -0.1383419004D-02
 2205  -0.6209023727D+01  0.8568078419D-03  -0.1382797441D-02
 2206  -0.6209040779D+01  0.8564250984D-03  -0.1382176422D-02
 2207  -0.6209057770D+01  0.8560426805D-03  -0.1381555947D-02
 2208  -0.6209074700D+01  0.8556605878D-03  -0.1380936015D-02
 2209  -0.6209091570D+01  0.8552788202D-03  -0.1380316624D-02
 2210  -0.6209108380D+01  0.8548973770D-03  -0.1379697775D-02
 2211  -0.6209125129D+01  0.8545162580D-03  -0.1379079467D-02
 2212  -0.6209141819D+01  0.8541354629D-03  -0.1378461699D-02
 2213  -0.6209158450D+01  0.8537549912D-03  -0.1377844471D-02
 2214  -0.6209175021D+01  0.8533748424D-03  -0.1377227781D-02
 2215  -0.6209191533D+01  0.8529950166D-03  -0.1376611629D-02
 2216  -0.6209207986D+01  0.8526155131D-03  -0.1375996015D-02
 2217  -0.6209224380D+01  0.8522363315D-03  -0.1375380938D-02
 2218  -0.6209240716D+01  0.8518574715D-03  -0.1374766397D-02
 2219  -0.6209256994D+01  0.8514789329D-03  -0.1374152391D-02
 2220  -0.6209273214D+01  0.8511007151D-03  -0.1373538920D-02
 2221  -0.6209289376D+01  0.8507228179D-03  -0.1372925983D-02
 2222  -0.6209305480D+01  0.8503452409D-03  -0.1372313580D-02
 2223  -0.6209321527D+01  0.8499679837D-03  -0.1371701710D-02
 2224  -0.6209337517D+01  0.8495910460D-03  -0.1371090371D-02
 2225  -0.6209353450D+01  0.8492144274D-03  -0.1370479565D-02
 2226  -0.6209369326D+01  0.8488381276D-03  -0.1369869289D-02
 2227  -0.6209385145D+01  0.8484621461D-03  -0.1369259544D-02
 2228  -0.6209400908D+01  0.8480864826D-03  -0.1368650328D-02
 2229  -0.6209416615D+01  0.8477111369D-03  -0.1368041641D-02
 2230  -0.6209432266D+01  0.8473361085D-03  -0.1367433483D-02
 2231  -0.6209447862D+01  0.8469613969D-03  -0.1366825852D-02
 2232  -0.6209463402D+01  0.8465870022D-03  -0.1366218748D-02
 2233  -0.6209478886D+01  0.8462129234D-03  -0.1365612171D-02
 2234  -0.6209494315D+01  0.8458391607D-03  -0.1365006119D-02
 2235  -0.6209509690D+01  0.8454657135D-03  -0.1364400592D-02
 2236  -0.6209525010D+01  0.8450925814D-03  -0.1363795589D-02
 2237  -0.6209540275D+01  0.8447197642D-03  -0.1363191111D-02
 2238  -0.6209555486D+01  0.8443472614D-03  -0.1362587155D-02
 2239  -0.6209570643D+01  0.8439750728D-03  -0.1361983722D-02
 2240  -0.6209585746D+01  0.8436031979D-03  -0.1361380810D-02
 2241  -0.6209600795D+01  0.8432316364D-03  -0.1360778420D-02
 2242  -0.6209615791D+01  0.8428603880D-03  -0.1360176551D-02
 2243  -0.6209630733D+01  0.8424894522D-03  -0.1359575201D-02
 2244  -0.6209645623D+01  0.8421188289D-03  -0.1358974371D-02
 2245  -0.6209660459D+01  0.8417485176D-03  -0.1358374059D-02
 2246  -0.6209675243D+01  0.8413785180D-03  -0.1357774266D-02
 2247  -0.6209689974D+01  0.8410088296D-03  -0.1357174989D-02
 2248  -0.6209704653D+01  0.8406394521D-03  -0.1356576230D-02
 2249  -0.6209719279D+01  0.8402703853D-03  -0.1355977987D-02
 2250  -0.6209733855D+01  0.8399016288D-03  -0.1355380259D-02
 2251  -0.6209748377D+01  0.8395331821D-03  -0.1354783047D-02
 2252  -0.6209762849D+01  0.8391650450D-03  -0.1354186349D-02
 2253  -0.6209777269D+01  0.8387972171D-03  -0.1353590164D-02
